englishWord,gaWord,wordType,category,level,sourcePage,reviewStatus,audioStatus,quizReady,storyReady,notes,sourceName
grandmother,nanaa,noun,Family,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
great-grandchild,nanakansowa,noun,Family,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
leg,nane,noun,Body,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
toe,nane wao,noun,Body,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
path,nanegbe,noun,Places,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
bag,flɔtɔ,noun,Objects,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
refrigerator,frijii,noun,Home,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
telephone,telefon,noun,Objects,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
bucket,goga,noun,Objects,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
bathroom,hejuhe,noun,Home,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
kitchen,kpataashi,noun,Home,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
pan,klɛmpɛ,noun,Objects,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
knife,kakla,noun,Objects,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
cup,kɔɔpoo,noun,Objects,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
computer,kompiuta,noun,School,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
parent,fɔlɔ,noun,Family,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
boy,gbekenuu,noun,People,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
girl,gbekeyoo,noun,People,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
spouse,hefatalɔ,noun,Family,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
receptionist,gbɔherelɔ,noun,Professions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
engineer,injinia,noun,Professions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
manager,kuralɔ,noun,Professions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
dog,gbee,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
sheep,too gwantɛŋ,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
turtle,hala,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
giraffe,jiraf,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
lion,jata,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
turkey,klakuŋ,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
rabbit,kpɛŋkpɛlɛ,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
pig,kpolotoo,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
mouse,kwakwe,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
frog,kɔkɔdene,noun,Animals,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
body,gbɔmɔtso,noun,Body,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
health,hewalɛ,noun,Health,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
face,hie,noun,Body,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
eye,hiŋmei,noun,Body,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
skin,hewolo,noun,Body,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
nose,gugo,noun,Body,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
shoulder,kɔŋ,noun,Body,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
disease,hela,noun,Health,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
clinic,helatsamɔhe,noun,Health,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
day,gbii,noun,Time,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
date,gbi,noun,Time,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
evening,gbɛkɛ,noun,Time,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
night,ghɛkɛ,noun,Time,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
morning,leebi,noun,Time,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
pull,gbala,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
finish,gbe naa,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
buy,he,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
hate,hi,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
be,ji,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
dance,jɔ,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
run,jɔ foi,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
rest,jɔɔ he,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
bathe,juu he,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
read,kane,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
say,kɛɛ,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
break,ku,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
sing,la,verb,Actions,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
triangle,koji-etɛ,noun,Shapes,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
rectangle,koji-ejwɛ,noun,Shapes,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
angle,kɔŋ,noun,Shapes,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
learn,nikasɛmɔ,verb,School,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
train,keteke,noun,Transport,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
basketball,kentɛn-bɔɔlo,noun,Sports,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
breakfast,leebi niyenii,noun,Food,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
cheese,keesuu,noun,Food,Foundation,,Reviewed,Not Started,true,true,Provided from dictionary notes; page to confirm,Kasahorow Ga Children's Dictionary
